timestamp,batch,feature,group,group_size,recall
2025-12-26 13:49:31.632241,production_batch_0,gender,Male,260,0.5797101449275363
2025-12-26 13:49:31.633322,production_batch_0,gender,Female,240,0.5915492957746479
2025-12-26 13:49:31.634720,production_batch_0,SeniorCitizen,0,426,0.5576923076923077
2025-12-26 13:49:31.635520,production_batch_0,SeniorCitizen,1,74,0.6666666666666666
2025-12-26 13:49:31.636633,production_batch_0,Partner,Yes,256,0.45098039215686275
2025-12-26 13:49:31.637654,production_batch_0,Partner,No,244,0.6629213483146067
2025-12-26 13:49:31.643888,production_batch_1,gender,Female,262,0.5194805194805194
2025-12-26 13:49:31.644885,production_batch_1,gender,Male,238,0.5535714285714286
2025-12-26 13:49:31.645710,production_batch_1,SeniorCitizen,1,82,0.59375
2025-12-26 13:49:31.646944,production_batch_1,SeniorCitizen,0,418,0.5148514851485149
2025-12-26 13:49:31.648054,production_batch_1,Partner,Yes,244,0.5208333333333334
2025-12-26 13:49:31.649070,production_batch_1,Partner,No,256,0.5411764705882353
2025-12-26 13:49:31.655190,production_batch_2,gender,Female,252,0.5342465753424658
2025-12-26 13:49:31.656252,production_batch_2,gender,Male,248,0.6229508196721312
2025-12-26 13:49:31.657497,production_batch_2,SeniorCitizen,0,417,0.5346534653465347
2025-12-26 13:49:31.658295,production_batch_2,SeniorCitizen,1,83,0.696969696969697
2025-12-26 13:49:31.659334,production_batch_2,Partner,No,250,0.6067415730337079
2025-12-26 13:49:31.660340,production_batch_2,Partner,Yes,250,0.5111111111111111
2025-12-26 13:49:31.666690,production_batch_3,gender,Male,258,0.5135135135135135
2025-12-26 13:49:31.667696,production_batch_3,gender,Female,242,0.5857142857142857
2025-12-26 13:49:31.668938,production_batch_3,SeniorCitizen,0,417,0.5
2025-12-26 13:49:31.669772,production_batch_3,SeniorCitizen,1,83,0.6666666666666666
2025-12-26 13:49:31.670815,production_batch_3,Partner,No,255,0.5882352941176471
2025-12-26 13:49:31.671954,production_batch_3,Partner,Yes,245,0.4915254237288136
2025-12-26 13:49:31.677932,production_batch_4,gender,Male,251,0.6
2025-12-26 13:49:31.678946,production_batch_4,gender,Female,249,0.5230769230769231
2025-12-26 13:49:31.680225,production_batch_4,SeniorCitizen,0,412,0.5164835164835165
2025-12-26 13:49:31.681027,production_batch_4,SeniorCitizen,1,88,0.6764705882352942
2025-12-26 13:49:31.682030,production_batch_4,Partner,Yes,230,0.48717948717948717
2025-12-26 13:49:31.683067,production_batch_4,Partner,No,270,0.5930232558139535
2025-12-26 13:49:31.688915,production_batch_5,gender,Male,175,0.5277777777777778
2025-12-26 13:49:31.689786,production_batch_5,gender,Female,143,0.5833333333333334
2025-12-26 13:49:31.690579,production_batch_5,SeniorCitizen,1,50,0.5882352941176471
2025-12-26 13:49:31.691598,production_batch_5,SeniorCitizen,0,268,0.5454545454545454
2025-12-26 13:49:31.692485,production_batch_5,Partner,Yes,142,0.4642857142857143
2025-12-26 13:49:31.693390,production_batch_5,Partner,No,176,0.6136363636363636
